"player","pos","age","contract_type","cap_hit","cap_hit_pct_league_cap","team","year"
"Kevin Garnett","PF",35,"VET-EXT","$21,247,044","36.61%","boston celtics",2011
"Paul Pierce","SF",34,"","$15,333,334","26.42%","boston celtics",2011
"Rajon Rondo","PG",25,"EXT","$10,045,455","17.31%","boston celtics",2011
"Ray Allen","SG",36,"","$10,000,000","17.23%","boston celtics",2011
"Jermaine O'Neal","C",33,"","$6,226,000","10.73%","boston celtics",2011
"Brandon Bass","PF",26,"","$3,420,732","5.89%","boston celtics",2011
"Chris Wilcox","PF",29,"","$3,000,000","5.17%","boston celtics",2011
"Avery Bradley","PG",21,"RK","$1,524,480","2.63%","boston celtics",2011
"JaJuan Johnson","PF",22,"RK","$1,042,320","1.80%","boston celtics",2011
"Sasha Pavlovic","SG",28,"","$854,389","1.47%","boston celtics",2011
"Mickael Pietrus","SF",29,"","$854,389","1.47%","boston celtics",2011
"Marquis Daniels","SF",31,"","$854,389","1.47%","boston celtics",2011
"Greg Stiemsma","C",26,"","$613,474","1.06%","boston celtics",2011
"E'Twaun Moore","SG",22,"RK","$381,193","0.66%","boston celtics",2011
"Carlos Arroyo","PG",32,"","$358,292","0.62%","boston celtics",2011
"Ryan Hollins","C",27,"","$248,048","0.43%","boston celtics",2011
"Sean Williams","PF",25,"","$49,966","0.09%","boston celtics",2011
"Paul Pierce","SF",35,"","$16,790,345","28.93%","boston celtics",2012
"Kevin Garnett","PF",36,"","$11,566,265","19.93%","boston celtics",2012
"Rajon Rondo","PG",26,"EXT","$11,000,000","18.95%","boston celtics",2012
"Jeff Green","PF",26,"","$8,100,000","13.95%","boston celtics",2012
"Brandon Bass","PF",27,"","$6,000,000","10.34%","boston celtics",2012
"Jason Terry","SG",35,"","$5,000,000","8.61%","boston celtics",2012
"Courtney Lee","SG",27,"S&T","$5,000,000","8.61%","boston celtics",2012
"Avery Bradley","PG",22,"RK","$1,630,800","2.81%","boston celtics",2012
"Jared Sullinger","PF",20,"RK","$1,306,920","2.25%","boston celtics",2012
"Fab Melo","C",22,"RK","$1,254,720","2.16%","boston celtics",2012
"Jordan Crawford","SG",24,"RK","$1,198,680","2.07%","boston celtics",2012
"Chris Wilcox","PF",30,"","$854,389","1.47%","boston celtics",2012
"Terrence Williams","SG",25,"","$249,916","0.43%","boston celtics",2012
"Shavlik Randolph","PF",29,"","$163,500","0.28%","boston celtics",2012
"D.J. White","PF",26,"","$145,749","0.25%","boston celtics",2012
"Kris Humphries","PF",28,"","$12,000,000","20.45%","boston celtics",2013
"Rajon Rondo","PG",27,"EXT","$11,954,545","20.37%","boston celtics",2013
"Gerald Wallace","SF",31,"","$10,105,885","17.22%","boston celtics",2013
"Jeff Green","PF",27,"","$8,700,000","14.83%","boston celtics",2013
"Brandon Bass","PF",28,"","$6,450,000","10.99%","boston celtics",2013
"Keith Bogans","SF",33,"S&T","$5,058,198","8.62%","boston celtics",2013
"Joel Anthony","C",31,"","$3,800,000","6.48%","boston celtics",2013
"Jerryd Bayless","PG",25,"","$3,135,000","5.34%","boston celtics",2013
"Avery Bradley","PG",23,"RK","$2,511,432","4.28%","boston celtics",2013
"Vitor Faverani","C",25,"","$2,000,000","3.41%","boston celtics",2013
"Kelly Olynyk","PF",22,"RK","$1,986,360","3.39%","boston celtics",2013
"Jared Sullinger","PF",21,"RK","$1,365,720","2.33%","boston celtics",2013
"Phil Pressey","PG",22,"RK","$490,180","0.84%","boston celtics",2013
"Christapher Johnson","SF",23,"","$320,189","0.55%","boston celtics",2013
"Chris Babb","SG",23,"","$77,852","0.13%","boston celtics",2013
"Gerald Wallace","SF",32,"","$10,105,855","16.02%","boston celtics",2014
"Isaiah Thomas","PG",25,"S&T","$7,238,606","11.48%","boston celtics",2014
"Avery Bradley","PG",24,"","$7,191,011","11.40%","boston celtics",2014
"Brandon Bass","PF",29,"","$6,900,000","10.94%","boston celtics",2014
"Jonas Jerebko","PF",27,"","$4,500,000","7.14%","boston celtics",2014
"Marcus Smart","PG",20,"RK","$3,283,320","5.21%","boston celtics",2014
"Evan Turner","SF",26,"","$3,278,000","5.20%","boston celtics",2014
"Kelly Olynyk","PF",23,"RK","$2,075,760","3.29%","boston celtics",2014
"Luigi Datome","SF",27,"RK","$1,750,000","2.77%","boston celtics",2014
"Tyler Zeller","C",25,"RK","$1,703,760","2.70%","boston celtics",2014
"James Young","SG",19,"RK","$1,674,480","2.66%","boston celtics",2014
"Jared Sullinger","PF",22,"RK","$1,424,520","2.26%","boston celtics",2014
"Jae Crowder","SF",24,"RK","$915,243","1.45%","boston celtics",2014
"Phil Pressey","PG",23,"RK","$816,482","1.29%","boston celtics",2014
"Chris Babb","SG",24,"","$48,028","0.08%","boston celtics",2014
"Amir Johnson","C",28,"","$12,000,000","17.14%","boston celtics",2015
"Avery Bradley","PG",25,"","$7,730,337","11.04%","boston celtics",2015
"Isaiah Thomas","PG",26,"S&T","$6,912,869","9.88%","boston celtics",2015
"Jae Crowder","SF",25,"","$6,796,117","9.71%","boston celtics",2015
"Jonas Jerebko","PF",28,"","$5,000,000","7.14%","boston celtics",2015
"Marcus Smart","PG",21,"RK","$3,431,040","4.90%","boston celtics",2015
"Evan Turner","SF",27,"","$3,425,510","4.89%","boston celtics",2015
"Tyler Zeller","C",26,"RK","$2,616,975","3.74%","boston celtics",2015
"Jared Sullinger","PF",23,"RK","$2,269,260","3.24%","boston celtics",2015
"Kelly Olynyk","PF",24,"RK","$2,165,160","3.09%","boston celtics",2015
"Terry Rozier","PG",21,"RK","$1,824,360","2.61%","boston celtics",2015
"James Young","SG",20,"RK","$1,749,840","2.50%","boston celtics",2015
"Jordan Mickey","PF",21,"RK","$1,170,960","1.67%","boston celtics",2015
"R.J. Hunter","SG",22,"RK","$1,148,640","1.64%","boston celtics",2015
"John Holland","SF",27,"","$9,266","0.01%","boston celtics",2015
"Al Horford","C",30,"Maximum","$26,540,100","28.19%","boston celtics",2016
"Amir Johnson","C",29,"","$12,000,000","12.75%","boston celtics",2016
"Avery Bradley","PG",26,"","$8,269,663","8.78%","boston celtics",2016
"Tyler Zeller","C",27,"","$8,000,000","8.50%","boston celtics",2016
"Isaiah Thomas","PG",27,"S&T","$6,587,132","7.00%","boston celtics",2016
"Jae Crowder","SF",26,"","$6,286,408","6.68%","boston celtics",2016
"Jonas Jerebko","PF",29,"","$5,000,000","5.31%","boston celtics",2016
"Jaylen Brown","SF",20,"RK","$4,743,000","5.04%","boston celtics",2016
"Marcus Smart","PG",22,"RK","$3,578,880","3.80%","boston celtics",2016
"Kelly Olynyk","PF",25,"RK","$3,094,014","3.29%","boston celtics",2016
"Terry Rozier","PG",22,"RK","$1,906,440","2.03%","boston celtics",2016
"James Young","SG",21,"RK","$1,825,200","1.94%","boston celtics",2016
"Demetrius Jackson","PG",22,"RK","$1,450,000","1.54%","boston celtics",2016
"Jordan Mickey","PF",22,"RK","$1,223,653","1.30%","boston celtics",2016
"Gerald Green","SG",31,"","$980,431","1.04%","boston celtics",2016
"Gordon Hayward","SF",27,"Maximum","$29,727,900","30.00%","boston celtics",2017
"Al Horford","C",31,"Maximum","$27,734,405","27.99%","boston celtics",2017
"Kyrie Irving","PG",25,"DRK-EXT","$18,868,625","19.04%","boston celtics",2017
"Jayson Tatum","PF",19,"RK","$5,645,400","5.70%","boston celtics",2017
"Greg Monroe","C",27,"","$5,000,000","5.05%","boston celtics",2017
"Marcus Morris Sr.","SF",28,"RK-EXT","$5,000,000","5.05%","boston celtics",2017
"Jaylen Brown","SF",21,"RK","$4,956,480","5.00%","boston celtics",2017
"Marcus Smart","PG",23,"RK","$4,538,020","4.58%","boston celtics",2017
"Aron Baynes","C",31,"","$4,328,000","4.37%","boston celtics",2017
"Guerschon Yabusele","PF",22,"RK","$2,247,480","2.27%","boston celtics",2017
"Terry Rozier","PG",23,"RK","$1,988,520","2.01%","boston celtics",2017
"Shane Larkin","PG",25,"","$1,471,382","1.48%","boston celtics",2017
"Semi Ojeleye","PF",23,"RK","$1,291,892","1.30%","boston celtics",2017
"Abdel Nader","SF",24,"","$1,167,333","1.18%","boston celtics",2017
"Daniel Theis","C",25,"RK","$815,615","0.82%","boston celtics",2017
"Jonathan Gibson","PG",30,"","$44,495","0.04%","boston celtics",2017
"Kadeem Allen","SG",25,"TW","-","-","boston celtics",2017
"Jabari Bird","SG",23,"TW","-","-","boston celtics",2017
"Gordon Hayward","SF",28,"Maximum","$31,214,295","30.64%","boston celtics",2018
"Al Horford","C",32,"Maximum","$28,928,709","28.40%","boston celtics",2018
"Kyrie Irving","PG",26,"DRK-EXT","$20,099,188","19.73%","boston celtics",2018
"Marcus Smart","PG",24,"FA","$11,660,716","11.45%","boston celtics",2018
"Jayson Tatum","PF",20,"RK","$6,700,800","6.58%","boston celtics",2018
"Marcus Morris Sr.","SF",29,"RK-EXT","$5,375,000","5.28%","boston celtics",2018
"Aron Baynes","C",32,"","$5,193,600","5.10%","boston celtics",2018
"Jaylen Brown","SF",22,"RK","$5,169,960","5.08%","boston celtics",2018
"Terry Rozier","PG",24,"RK","$3,050,390","2.99%","boston celtics",2018
"Guerschon Yabusele","PF",23,"RK","$2,667,600","2.62%","boston celtics",2018
"Robert Williams III","C",21,"RK","$1,654,440","1.62%","boston celtics",2018
"Daniel Theis","C",26,"RK","$1,378,242","1.35%","boston celtics",2018
"Semi Ojeleye","PF",24,"RK","$1,378,242","1.35%","boston celtics",2018
"Brad Wanamaker","PG",29,"RK","$838,464","0.82%","boston celtics",2018
"Jonathan Gibson","PG",31,"ROS","$17,092","0.02%","boston celtics",2018
"R.J. Hunter","SG",25,"TW","-","-","boston celtics",2018
"P.J. Dozier","PG",22,"TW","-","-","boston celtics",2018
"Kemba Walker","PG",29,"Maximum","$32,742,000","30.00%","boston celtics",2019
"Gordon Hayward","SF",29,"Maximum","$32,700,690","29.96%","boston celtics",2019
"Marcus Smart","PG",25,"FA","$12,553,471","11.50%","boston celtics",2019
"Jayson Tatum","PF",21,"RK","$7,830,000","7.17%","boston celtics",2019
"Jaylen Brown","SF",23,"RK","$6,534,829","5.99%","boston celtics",2019
"Daniel Theis","C",27,"FA","$5,000,000","4.58%","boston celtics",2019
"Enes Freedom","C",27,"FA","$4,767,000","4.37%","boston celtics",2019
"Romeo Langford","SG",20,"RK","$3,458,400","3.17%","boston celtics",2019
"Vincent Poirier","C",26,"FA","$2,505,793","2.30%","boston celtics",2019
"Grant Williams","PF",21,"RK","$2,379,840","2.18%","boston celtics",2019
"Robert Williams III","C",22,"RK","$1,937,520","1.78%","boston celtics",2019
"Semi Ojeleye","PF",25,"RK","$1,618,520","1.48%","boston celtics",2019
"Brad Wanamaker","PG",30,"FA","$1,445,697","1.32%","boston celtics",2019
"Carsen Edwards","PG",21,"RK","$1,228,026","1.13%","boston celtics",2019
"Javonte Green","SG",26,"","$898,310","0.82%","boston celtics",2019
"Tremont Waters","PG",22,"TW","-","-","boston celtics",2019
"Tacko Fall","C",24,"TW","-","-","boston celtics",2019
"Kemba Walker","PG",30,"Maximum","$34,379,100","31.50%","boston celtics",2020
"Jaylen Brown","SF",24,"RK-EXT","$23,437,500","21.47%","boston celtics",2020
"Evan Fournier","SG",28,"FA","$17,450,000","15.99%","boston celtics",2020
"Marcus Smart","PG",26,"FA","$13,446,428","12.32%","boston celtics",2020
"Jayson Tatum","PF",22,"RK","$9,897,120","9.07%","boston celtics",2020
"Tristan Thompson","C",29,"FA","$9,258,000","8.48%","boston celtics",2020
"Romeo Langford","SG",21,"RK","$3,631,200","3.33%","boston celtics",2020
"Aaron Nesmith","SF",21,"RK","$3,458,400","3.17%","boston celtics",2020
"Grant Williams","PF",22,"RK","$2,498,760","2.29%","boston celtics",2020
"Luke Kornet","C",25,"FA","$2,250,000","2.06%","boston celtics",2020
"Payton Pritchard","PG",23,"RK","$2,035,800","1.87%","boston celtics",2020
"Robert Williams III","C",23,"RK","$2,029,920","1.86%","boston celtics",2020
"Semi Ojeleye","PF",26,"RK","$1,752,950","1.61%","boston celtics",2020
"Carsen Edwards","PG",22,"RK","$1,517,981","1.39%","boston celtics",2020
"Jabari Parker","PF",25,"ROS","$430,729","0.39%","boston celtics",2020
"Tremont Waters","PG",23,"TW","-","-","boston celtics",2020
"Tacko Fall","C",25,"TW","-","-","boston celtics",2020
"Jayson Tatum","PF",23,"DRK-EXT","$28,103,500","25.00%","boston celtics",2021
"Al Horford","C",35,"FA","$27,000,000","24.02%","boston celtics",2021
"Jaylen Brown","SF",25,"RK-EXT","$26,758,929","23.80%","boston celtics",2021
"Derrick White","PG",27,"RK-EXT","$15,178,571","13.50%","boston celtics",2021
"Marcus Smart","PG",27,"FA","$13,839,285","12.31%","boston celtics",2021
"Daniel Theis","C",29,"S&T","$8,280,351","7.37%","boston celtics",2021
"Robert Williams III","C",24,"RK","$3,661,976","3.26%","boston celtics",2021
"Aaron Nesmith","SF",22,"RK","$3,631,200","3.23%","boston celtics",2021
"Grant Williams","PF",23,"RK","$2,617,800","2.33%","boston celtics",2021
"Payton Pritchard","PG",24,"RK","$2,137,440","1.90%","boston celtics",2021
"Luke Kornet","C",26,"ROS","$565,987","0.50%","boston celtics",2021
"Nik Stauskas","SG",28,"ROS","$423,536","0.38%","boston celtics",2021
"Sam Hauser","SF",24,"ROS","$313,737","0.28%","boston celtics",2021
"Malik Fitts","PF",24,"ROS","$231,062","0.21%","boston celtics",2021
"Juwan Morgan","SF",24,"ROS","$19,186","0.02%","boston celtics",2021
"Brodric Thomas","G",NA,"TW","-","-","boston celtics",2021
"Matt Ryan","SF",24,"TW","-","-","boston celtics",2021
"Jayson Tatum","PF",24,"DRK-EXT","$30,351,780","24.55%","boston celtics",2022
"Jaylen Brown","SF",26,"RK-EXT","$29,776,785","24.08%","boston celtics",2022
"Al Horford","C",36,"FA","$26,500,000","21.43%","boston celtics",2022
"Malcolm Brogdon","PG",30,"FA","$22,600,000","18.28%","boston celtics",2022
"Marcus Smart","PG",28,"VET-EXT","$17,457,142","14.12%","boston celtics",2022
"Derrick White","PG",28,"RK-EXT","$17,142,857","13.86%","boston celtics",2022
"Robert Williams III","C",25,"RK-EXT","$10,714,287","8.66%","boston celtics",2022
"Danilo Gallinari","PF",34,"FA","$6,479,000","5.24%","boston celtics",2022
"Grant Williams","PF",24,"RK","$4,306,281","3.48%","boston celtics",2022
"Mike Muscala","C",31,"FA","$3,500,000","2.83%","boston celtics",2022
"Payton Pritchard","PG",25,"RK","$2,239,200","1.81%","boston celtics",2022
"Luke Kornet","C",27,"FA","$2,133,278","1.73%","boston celtics",2022
"Blake Griffin","C",33,"FA","$1,836,090","1.48%","boston celtics",2022
"Sam Hauser","SF",25,"FA","$1,637,966","1.32%","boston celtics",2022
"Justin Champagnie","SF",21,"ROS","$28,241","0.02%","boston celtics",2022
"Mfiondu Kabengele","PF",25,"TW","-","-","boston celtics",2022
"J.D. Davison","PG",20,"TW","-","-","boston celtics",2022
"Jrue Holiday","PG",33,"VET-EXT","$37,620,347","27.66%","boston celtics",2023
"Kristaps Porzingis","PF",28,"Maximum","$36,016,200","26.48%","boston celtics",2023
"Jayson Tatum","PF",25,"DRK-EXT","$32,600,060","23.97%","boston celtics",2023
"Jaylen Brown","SF",27,"RK-EXT","$31,830,357","23.40%","boston celtics",2023
"Derrick White","PG",29,"RK-EXT","$18,857,143","13.86%","boston celtics",2023
"Al Horford","C",37,"VET-EXT","$10,000,000","7.35%","boston celtics",2023
"Payton Pritchard","PG",26,"RK","$4,037,278","2.97%","boston celtics",2023
"Luke Kornet","C",28,"FA","$2,413,304","1.77%","boston celtics",2023
"Jaden Springer","PG",21,"RK","$2,226,240","1.64%","boston celtics",2023
"Oshae Brissett","SF",25,"FA","$2,165,000","1.59%","boston celtics",2023
"Sviatoslav Mykhailiuk","SG",26,"FA","$2,019,706","1.48%","boston celtics",2023
"Xavier Tillman","C",25,"RK","$1,930,681","1.42%","boston celtics",2023
"Sam Hauser","SF",26,"FA","$1,927,896","1.42%","boston celtics",2023
"Jordan Walsh","SF",19,"RK","$1,119,563","0.82%","boston celtics",2023
"Neemias Queta","C",24,"ROS","$81,253","0.06%","boston celtics",2023
"J.D. Davison","PG",21,"TW","-","-","boston celtics",2023
"Drew Peterson","F",24,"TW","-","-","boston celtics",2023
"Jaylen Brown","SF",28,"DVET-EXT","$49,205,800","35.00%","boston celtics",2024
"Jayson Tatum","PF",26,"DRK-EXT","$34,848,340","24.79%","boston celtics",2024
"Jrue Holiday","PG",34,"VET-EXT","$30,000,000","21.34%","boston celtics",2024
"Kristaps Porzingis","PF",29,"VET-EXT","$29,268,293","20.82%","boston celtics",2024
"Derrick White","PG",30,"RK-EXT","$20,071,429","14.28%","boston celtics",2024
"Al Horford","C",38,"VET-EXT","$9,500,000","6.76%","boston celtics",2024
"Payton Pritchard","PG",27,"RK-EXT","$6,696,429","4.76%","boston celtics",2024
"Jaden Springer","PG",22,"RK","$4,018,363","2.86%","boston celtics",2024
"Baylor Scheierman","SG",24,"RK","$2,494,320","1.77%","boston celtics",2024
"Xavier Tillman","C",26,"FA","$2,237,691","1.59%","boston celtics",2024
"Neemias Queta","C",25,"FA","$2,162,606","1.54%","boston celtics",2024
"Sam Hauser","SF",27,"FA","$2,092,344","1.49%","boston celtics",2024
"Luke Kornet","C",29,"FA","$2,087,519","1.48%","boston celtics",2024
"Jordan Walsh","SF",20,"RK","$1,891,857","1.35%","boston celtics",2024
"Tristan Enaruna","PF",23,"E10","-","-","boston celtics",2024
"J.D. Davison","PG",22,"TW","-","-","boston celtics",2024
"Drew Peterson","F",25,"TW","-","-","boston celtics",2024
"Deron Williams","PG",27,"EXT","$16,359,805","28.19%","brooklyn nets",2011
"Kris Humphries","PF",26,"","$8,000,000","13.78%","brooklyn nets",2011
"Travis Outlaw","SF",27,"Amnesty","$4,000,000","6.89%","brooklyn nets",2011
"Jordan Farmar","PG",25,"","$4,000,000","6.89%","brooklyn nets",2011
"Anthony Morrow","SG",26,"","$4,000,000","6.89%","brooklyn nets",2011
"Johan Petro","C",26,"","$3,250,000","5.60%","brooklyn nets",2011
"Brook Lopez","C",23,"RK","$3,076,983","5.30%","brooklyn nets",2011
"Shawne Williams","SF",25,"","$3,000,000","5.17%","brooklyn nets",2011
"DeShawn Stevenson","SF",30,"","$2,500,000","4.31%","brooklyn nets",2011
"MarShon Brooks","SG",23,"RK","$1,063,865","1.83%","brooklyn nets",2011
"Shelden Williams","C",NA,"","$992,680","1.71%","brooklyn nets",2011
"Jordan Williams","PF",NA,"RK","$473,604","0.82%","brooklyn nets",2011
"Andre Emmett","SG",NA,"","$415,742","0.72%","brooklyn nets",2011
"Gerald Green","SG",26,"","$277,540","0.48%","brooklyn nets",2011
"Armon Johnson","PG",22,"","$34,644","0.06%","brooklyn nets",2011
"Joe Johnson","SG",31,"","$19,752,645","34.03%","brooklyn nets",2012
"Deron Williams","PG",28,"","$17,177,795","29.59%","brooklyn nets",2012
"Brook Lopez","C",24,"","$13,668,750","23.55%","brooklyn nets",2012
"Kris Humphries","PF",27,"","$12,000,000","20.67%","brooklyn nets",2012
"Gerald Wallace","SF",30,"","$9,682,435","16.68%","brooklyn nets",2012
"Mirza Teletovic","PF",27,"","$3,090,000","5.32%","brooklyn nets",2012
"Reggie Evans","PF",32,"","$1,622,617","2.80%","brooklyn nets",2012
"Keith Bogans","SF",32,"","$1,229,255","2.12%","brooklyn nets",2012
"MarShon Brooks","SG",24,"RK","$1,160,040","2.00%","brooklyn nets",2012
"C.J. Watson","PG",28,"","$992,680","1.71%","brooklyn nets",2012
"Jerry Stackhouse","SF",38,"","$854,389","1.47%","brooklyn nets",2012
"Andray Blatche","C",26,"","$854,389","1.47%","brooklyn nets",2012
"Tyshawn Taylor","PG",22,"RK","$473,604","0.82%","brooklyn nets",2012
"Tornike Shengelia","SF",21,"","$473,604","0.82%","brooklyn nets",2012
"Kris Joseph","SF",24,"","$16,715","0.03%","brooklyn nets",2012
"Joe Johnson","SG",32,"","$21,466,718","36.58%","brooklyn nets",2013
"Deron Williams","PG",29,"","$18,466,130","31.47%","brooklyn nets",2013
"Paul Pierce","SF",36,"","$15,333,334","26.13%","brooklyn nets",2013
"Brook Lopez","C",25,"","$14,693,906","25.04%","brooklyn nets",2013
"Kevin Garnett","PF",37,"","$12,433,735","21.19%","brooklyn nets",2013
"Marcus Thornton","SG",26,"","$8,050,000","13.72%","brooklyn nets",2013
"Mirza Teletovic","PF",28,"","$3,229,050","5.50%","brooklyn nets",2013
"Andrei Kirilenko","SF",32,"","$3,183,000","5.42%","brooklyn nets",2013
"Andray Blatche","C",27,"","$1,375,604","2.34%","brooklyn nets",2013
"Mason Plumlee","C",23,"RK","$1,298,640","2.21%","brooklyn nets",2013
"Marquis Teague","PG",20,"RK","$1,074,720","1.83%","brooklyn nets",2013
"Alan Anderson","SG",31,"","$947,907","1.62%","brooklyn nets",2013
"Shaun Livingston","PG",28,"","$884,293","1.51%","brooklyn nets",2013
"Jason Collins","C",26,"","$271,669","0.46%","brooklyn nets",2013
"Jorge Gutierrez","PG",25,"","$57,668","0.10%","brooklyn nets",2013
"Joe Johnson","SG",33,"","$23,180,790","36.76%","brooklyn nets",2014
"Deron Williams","PG",30,"","$19,754,465","31.32%","brooklyn nets",2014
"Brook Lopez","C",26,"","$15,719,063","24.93%","brooklyn nets",2014
"Thaddeus Young","PF",26,"","$9,660,869","15.32%","brooklyn nets",2014
"Jarrett Jack","PG",31,"","$6,300,000","9.99%","brooklyn nets",2014
"Mirza Teletovic","PF",29,"","$3,368,100","5.34%","brooklyn nets",2014
"Bojan Bogdanovic","SF",25,"","$3,278,000","5.20%","brooklyn nets",2014
"Sergey Karasev","SG",21,"RK","$1,533,840","2.43%","brooklyn nets",2014
"Mason Plumlee","C",24,"RK","$1,357,080","2.15%","brooklyn nets",2014
"Alan Anderson","SG",32,"","$1,276,061","2.02%","brooklyn nets",2014
"Jerome Jordan","C",28,"","$816,482","1.29%","brooklyn nets",2014
"Darius Morris","PG",24,"","$702,756","1.11%","brooklyn nets",2014
"Markel Brown","SG",23,"RK","$507,336","0.80%","brooklyn nets",2014
"Cory Jefferson","PF",24,"RK","$507,336","0.80%","brooklyn nets",2014
"Earl Clark","SF",27,"","$62,552","0.10%","brooklyn nets",2014
"Brook Lopez","C",27,"Maximum","$19,689,000","28.13%","brooklyn nets",2015
"Thaddeus Young","PF",27,"","$11,235,955","16.05%","brooklyn nets",2015
"Jarrett Jack","PG",32,"","$6,300,000","9.00%","brooklyn nets",2015
"Bojan Bogdanovic","SF",26,"","$3,425,510","4.89%","brooklyn nets",2015
"Sergey Karasev","SG",22,"RK","$1,599,840","2.29%","brooklyn nets",2015
"Wayne Ellington","SG",28,"","$1,500,000","2.14%","brooklyn nets",2015
"Shane Larkin","PG",23,"","$1,500,000","2.14%","brooklyn nets",2015
"Rondae Hollis-Jefferson","SF",21,"RK","$1,335,480","1.91%","brooklyn nets",2015
"Chris McCullough","PF",20,"RK","$1,140,240","1.63%","brooklyn nets",2015
"Thomas Robinson","PF",24,"","$981,348","1.40%","brooklyn nets",2015
"Donald Sloan","PG",28,"","$947,276","1.35%","brooklyn nets",2015
"Willie Reed","C",25,"","$947,276","1.35%","brooklyn nets",2015
"Markel Brown","SG",24,"RK","$845,059","1.21%","brooklyn nets",2015
"Sean Kilpatrick","SG",26,"","$221,176","0.32%","brooklyn nets",2015
"Henry Sims","C",25,"","$44,578","0.06%","brooklyn nets",2015
"Brook Lopez","C",28,"Maximum","$21,165,675","22.48%","brooklyn nets",2016
"Jeremy Lin","PG",28,"","$11,483,254","12.20%","brooklyn nets",2016
"Trevor Booker","PF",29,"","$9,250,000","9.83%","brooklyn nets",2016
"Andrew Nicholson","PF",27,"","$6,088,993","6.47%","brooklyn nets",2016
"K.J. McDaniels","SG",23,"","$3,333,333","3.54%","brooklyn nets",2016
"Justin Hamilton","C",26,"","$3,000,000","3.19%","brooklyn nets",2016
"Randy Foye","SG",33,"","$2,500,000","2.66%","brooklyn nets",2016
"Quincy Acy","PF",26,"","$1,790,092","1.90%","brooklyn nets",2016
"Caris LeVert","SG",22,"RK","$1,562,280","1.66%","brooklyn nets",2016
"Rondae Hollis-Jefferson","SF",22,"RK","$1,395,600","1.48%","brooklyn nets",2016
"Isaiah Whitehead","PG",21,"RK","$1,074,145","1.14%","brooklyn nets",2016
"Joe Harris","SG",25,"","$980,431","1.04%","brooklyn nets",2016
"Sean Kilpatrick","SG",27,"","$980,431","1.04%","brooklyn nets",2016
"Spencer Dinwiddie","PG",23,"","$726,672","0.77%","brooklyn nets",2016
"Archie Goodwin","SG",22,"","$75,000","0.08%","brooklyn nets",2016
"Allen Crabbe","SG",25,"","$19,332,500","19.51%","brooklyn nets",2017
"Timofey Mozgov","C",31,"","$15,280,000","15.42%","brooklyn nets",2017
"DeMarre Carroll","SF",31,"","$14,800,000","14.94%","brooklyn nets",2017
"Jeremy Lin","PG",29,"","$12,000,000","12.11%","brooklyn nets",2017
"D'Angelo Russell","PG",21,"RK","$5,562,360","5.61%","brooklyn nets",2017
"Jahlil Okafor","C",22,"RK","$4,995,120","5.04%","brooklyn nets",2017
"Nik Stauskas","SG",24,"RK","$3,807,147","3.84%","brooklyn nets",2017
"Dante Cunningham","PF",30,"","$2,300,000","2.32%","brooklyn nets",2017
"Jarrett Allen","C",19,"RK","$1,713,720","1.73%","brooklyn nets",2017
"Quincy Acy","PF",27,"","$1,709,538","1.73%","brooklyn nets",2017
"Caris LeVert","SG",23,"RK","$1,632,480","1.65%","brooklyn nets",2017
"Joe Harris","SG",26,"","$1,524,305","1.54%","brooklyn nets",2017
"Spencer Dinwiddie","PG",24,"","$1,524,305","1.54%","brooklyn nets",2017
"Rondae Hollis-Jefferson","SF",23,"RK","$1,471,382","1.48%","brooklyn nets",2017
"Isaiah Whitehead","PG",22,"RK","$1,312,611","1.32%","brooklyn nets",2017
"James Webb III","SF",24,"TW","-","-","brooklyn nets",2017
"Milton Doyle","G",24,"TW","-","-","brooklyn nets",2017
"Allen Crabbe","SG",26,"","$18,500,000","18.16%","brooklyn nets",2018
"DeMarre Carroll","SF",32,"","$15,400,000","15.12%","brooklyn nets",2018
"Jared Dudley","SF",33,"","$9,530,000","9.36%","brooklyn nets",2018
"Joe Harris","SG",27,"","$8,333,333","8.18%","brooklyn nets",2018
"D'Angelo Russell","PG",22,"RK","$7,019,698","6.89%","brooklyn nets",2018
"Ed Davis","C",29,"","$4,449,000","4.37%","brooklyn nets",2018
"Rondae Hollis-Jefferson","SF",24,"RK","$2,470,357","2.43%","brooklyn nets",2018
"Jarrett Allen","C",20,"RK","$2,034,120","2.00%","brooklyn nets",2018
"Shabazz Napier","PG",27,"","$1,942,422","1.91%","brooklyn nets",2018
"Caris LeVert","SG",24,"RK","$1,702,800","1.67%","brooklyn nets",2018
"Spencer Dinwiddie","PG",25,"","$1,656,092","1.63%","brooklyn nets",2018
"Dzanan Musa","SG",19,"RK","$1,632,240","1.60%","brooklyn nets",2018
"Rodions Kurucs","SF",20,"RK","$1,618,320","1.59%","brooklyn nets",2018
"Treveon Graham","SF",25,"","$1,512,601","1.48%","brooklyn nets",2018
"Theo Pinson","SG",23,"ROS","$4,737","0.00%","brooklyn nets",2018
"Alan Williams","PF",26,"TW","-","-","brooklyn nets",2018
"Kevin Durant","SF",31,"Maximum","$38,199,000","35.00%","brooklyn nets",2019
"Kyrie Irving","PG",27,"FA","$31,742,000","29.08%","brooklyn nets",2019
"Joe Harris","SG",28,"","$7,666,667","7.02%","brooklyn nets",2019
"Garrett Temple","SG",33,"FA","$4,767,000","4.37%","brooklyn nets",2019
"Caris LeVert","SG",25,"RK","$2,625,718","2.41%","brooklyn nets",2019
